ID_Alumno,Nombre,Apellido,Edad,Genero,Fecha_Nacimiento,Email,Promedio,Asistencias
5562,Wendy,Martinez,25.0,Masculino,2006-09-29,mtyler@jenkins.net,6.87,39
4596,Cory,Watkins,21.0,Masculino,1999-05-11,paulfox@gmail.com,6.5,89
7270,Anna,Ford,21.0,Femenino,2000-04-04,patelrachel@smith.com,4.26,97
7292,Stephanie,Nguyen,,Masculino,2004-11-22,acraig@yahoo.com,4.17,56
9303,Katherine,Phillips,21.0,,2006-05-28,jessica29@gmail.com,,
6566,John,Fuller,19.0,Masculino,2006-02-15,gillbrian@steele.info,,38
4740,Dalton,Nunez,19.0,,2003-04-27,alexander25@howard.com,6.13,38
5323,Charles,Mitchell,21.0,Femenino,2001-11-25,mendozajessica@franklin.info,8.55,40
2457,Yolanda,Johnson,20.0,Femenino,2000-08-01,staylor@hotmail.com,,
1721,David,Smith,23.0,Masculino,2000-12-24,melissa96@yahoo.com,5.78,40
3536,Austin,Singleton,18.0,Femenino,2000-02-23,emily93@gmail.com,9.2,61
6169,Mary,Jones,18.0,Masculino,2000-09-28,josephjackson@gmail.com,8.76,
8946,Jeffrey,Daugherty,22.0,Femenino,2005-08-28,,5.74,3
2037,Colin,Edwards,18.0,Masculino,2001-06-02,tammyellis@smith.com,9.84,98
9639,Mary,Levine,20.0,Masculino,2005-07-27,petersenjay@gmail.com,4.16,76
8855,Jay,Valdez,20.0,Masculino,2000-02-05,chelsea40@ewing.com,9.64,53
8122,Gregory,Mitchell,21.0,Femenino,2000-06-11,phillipporter@yahoo.com,9.29,
6233,Elizabeth,Logan,18.0,Femenino,2003-07-22,perkinskimberly@hotmail.com,9.24,34
7316,Jerry,Wright,18.0,Femenino,2000-12-27,alexisschmidt@rodgers-harrell.biz,9.09,87
1397,James,Beasley,25.0,Femenino,2003-06-28,,6.85,5
2910,Holly,Black,20.0,Femenino,1999-02-03,grahamcassandra@holland.biz,6.63,
8114,Scott,Green,21.0,Masculino,2000-05-27,cynthia93@hotmail.com,5.78,14
3188,Eric,Brown,22.0,Masculino,2000-11-02,teresa54@rowland-lynch.com,7.23,41
3322,Jennifer,Price,22.0,Femenino,2006-03-18,,4.61,43
1509,Patricia,Campbell,23.0,,2005-11-03,afranklin@hotmail.com,7.41,16
2948,Terri,Perez,,Femenino,2004-12-31,rmiranda@hess.com,6.09,54
8041,Amy,Tapia,21.0,Femenino,2002-05-30,uphillips@cohen.com,9.81,
5061,James,Lozano,22.0,Masculino,2006-09-24,reidwilliam@hotmail.com,6.15,100
1520,Steven,Patel,22.0,Masculino,2006-05-18,williamsalexis@beasley.biz,9.4,41
5456,Lee,Preston,23.0,Masculino,2004-11-10,edwardslori@gmail.com,9.51,22
5328,David,Erickson,,Femenino,2000-03-12,brandongutierrez@gmail.com,6.81,22
7296,Ann,Henderson,20.0,Femenino,2000-12-06,uanderson@phillips.net,,17
2891,Kimberly,Jackson,22.0,Masculino,2005-04-23,jjohns@pugh.com,4.25,72
6633,Aaron,Williams,,Femenino,2003-08-16,qroberts@powell.com,5.52,23
5778,Donna,Mccarthy,20.0,,1999-12-16,fowlereric@wall.com,7.34,29
7123,Mark,Woods,18.0,Masculino,2006-05-10,,9.39,15
4105,Monica,Johnson,24.0,Masculino,2005-12-12,shannon77@fox.biz,9.54,13
9875,Kimberly,Miller,23.0,Masculino,2003-10-22,ostone@gmail.com,8.81,38
9878,Marcus,Garcia,19.0,Femenino,2004-08-27,eddie12@gmail.com,8.98,18
1976,Christopher,White,20.0,Femenino,2000-04-15,hnewman@jones.info,9.61,100
6550,Alexis,Anderson,23.0,Masculino,2005-03-13,julie97@hotmail.com,,100
9444,Linda,Kim,23.0,Femenino,2000-12-20,kimberlyjohnson@yahoo.com,4.37,2
1228,Garrett,Barry,22.0,Masculino,2003-04-27,laura03@hotmail.com,7.67,71
3644,Joshua,Cox,25.0,Masculino,2005-06-11,brodriguez@sanchez.com,8.87,31
9117,James,Gutierrez,23.0,Femenino,2001-05-29,dunlaphector@yahoo.com,5.22,
1359,Angela,Rose,22.0,Femenino,2005-08-27,aavila@gmail.com,9.1,3
5224,Michelle,Porter,,,2006-03-29,,8.72,69
6432,Christopher,Adams,20.0,Femenino,2006-02-19,marissadominguez@hotmail.com,5.63,22
3255,Wesley,Reynolds,24.0,Masculino,2005-08-16,robinmann@hotmail.com,4.19,84
6636,Marie,Terry,24.0,Masculino,2004-11-21,ustewart@bradley-grimes.com,7.2,33
