ID_Alumno,Nombre,Apellido,Edad,Genero,Fecha_Nacimiento,Email,Promedio,Asistencias
7311,Christopher,Lee,21.0,Masculino,2005-05-22,brittany92@hotmail.com,8.79,62
7890,Victoria,Smith,20.0,Masculino,1999-05-10,pgoodman@gmail.com,9.13,87
1663,Nancy,Nelson,22.0,Femenino,2005-07-27,hollymoore@walsh.org,,
5242,Whitney,Thornton,18.0,Femenino,2004-08-11,moralesjacqueline@yahoo.com,6.35,
9376,Tracy,Watson,23.0,Femenino,2000-03-16,seangreen@griffin.net,4.24,8
8961,Kevin,Jackson,24.0,Masculino,2006-01-19,simpsonlarry@williams-carson.biz,,82
7634,Kelly,Simmons,23.0,Masculino,2000-03-28,monroedavid@morales.biz,8.93,20
5969,David,Brown,22.0,,2001-10-09,lewisjennifer@gmail.com,7.93,30
8808,Marvin,Logan,23.0,Masculino,2003-05-14,davidbanks@ramirez-good.com,8.06,75
6866,Sandra,Wyatt,,Masculino,2000-12-28,bburton@yahoo.com,8.05,34
4578,James,Robinson,25.0,,1999-11-10,,7.04,79
9268,Lauren,Montoya,19.0,Masculino,2003-12-09,wigginsjoshua@gmail.com,9.01,71
3281,Amy,Walters,20.0,Femenino,2006-09-12,harrisjordan@potts-mays.com,9.11,50
5617,Keith,Zuniga,19.0,Masculino,2002-08-16,xbowman@hotmail.com,4.64,33
3289,Christopher,Guzman,24.0,Masculino,2004-07-09,nicholascarter@hernandez.com,9.15,47
2553,Lauren,Jones,18.0,Masculino,2000-05-07,morganchristine@gmail.com,4.99,82
5104,Logan,Martinez,24.0,Masculino,1998-12-22,edwardsilva@yahoo.com,8.69,69
9725,John,Lopez,24.0,Masculino,2002-11-15,kellywoods@gmail.com,8.65,27
3407,Ivan,Greer,21.0,,2004-08-27,hayden81@powell-murphy.biz,,21
6081,Lori,Wilson,19.0,Masculino,2002-05-07,hoffmantimothy@randall-cherry.com,8.04,40
2618,Antonio,Davis,22.0,Masculino,2006-07-08,fwilson@johnson-rogers.com,,85
2208,Tina,Bass,25.0,Femenino,2003-09-14,odrake@jones.com,6.44,85
6409,Jordan,Wilson,,Masculino,2006-04-20,,5.59,48
8735,Cesar,Jacobs,21.0,Masculino,2003-03-10,omiller@richards-jackson.com,8.11,22
2649,Erika,Lee,25.0,Femenino,2006-08-31,,6.18,60
6796,David,Arellano,21.0,Masculino,2001-07-05,mgoodwin@crawford.com,7.28,19
8113,Edward,Robbins,,Femenino,2004-05-19,cindygarcia@gray-payne.com,6.91,94
6180,Benjamin,Mendoza,22.0,Femenino,2001-11-24,zhernandez@frazier.com,6.43,1
4350,Christopher,Acosta,22.0,Femenino,2002-03-02,mreid@hotmail.com,5.83,82
8815,Holly,Brown,24.0,Masculino,2005-12-26,petersonsydney@meyers-johnson.com,4.35,62
8253,Maria,Shelton,19.0,Masculino,2004-06-15,meganaguilar@hotmail.com,5.22,
9541,Frances,Stephens,22.0,Masculino,2000-12-29,marshzachary@gmail.com,5.76,92
5267,Mary,Oliver,18.0,Masculino,2000-03-01,davidturner@rivera-martin.com,8.17,82
2020,Alicia,Huff,23.0,Femenino,2003-08-18,william88@gmail.com,5.7,48
9989,Aimee,Jones,19.0,Femenino,2004-09-26,burgessrebecca@roberts.biz,5.79,25
1230,Joe,Jones,21.0,Femenino,1998-12-19,olawson@gmail.com,7.93,68
2528,Jason,Turner,21.0,Masculino,2002-10-03,kevinhudson@jones-heath.com,6.53,15
7534,Erin,Graham,23.0,Masculino,2005-03-02,dpatrick@gmail.com,7.51,4
1018,Marcia,Brown,22.0,Masculino,1999-07-14,justingreer@mcmahon.biz,7.31,65
9086,Robert,Mcdonald,21.0,Femenino,2001-09-19,,4.95,83
6458,Joshua,Carlson,24.0,Femenino,2005-02-23,carrpaul@gmail.com,5.8,24
4996,Travis,Lyons,21.0,Femenino,1999-04-01,bosborne@george.com,9.62,75
6328,Danielle,Myers,25.0,Femenino,2003-06-29,james71@bishop.org,7.5,28
2031,Isabella,Green,19.0,,2001-04-01,montesjennifer@yahoo.com,7.76,
4130,Toni,Strong,24.0,Masculino,2000-01-03,vlloyd@lucero.com,,100
4632,Michael,Harrison,,Femenino,2000-11-26,wwallace@gibson.com,9.3,62
4909,Mark,Barrera,20.0,Femenino,2005-05-05,tuckerrachel@estrada.com,4.42,33
3334,Darrell,Hudson,25.0,Masculino,2002-12-16,sonia26@hotmail.com,5.0,22
9896,Brenda,Wolfe,25.0,Femenino,2001-11-09,,5.47,97
8339,Matthew,Harris,,Masculino,2004-01-19,jessicajohnson@yahoo.com,5.4,
